what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1306057211746
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1306057211899
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.undo",1306057212050
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306057214210
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057247685
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057257439
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306057267925
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057276785
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057279074
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.ProblemView",1306057291631
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.JavadocView",1306057292197
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306057305986
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306057328936
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1306057343319
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1306057346592
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1306057348524
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1306057349410
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306057349706
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1306057358843
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1306057360433
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1306057369716
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057379501
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057385297
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057427278
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057433557
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057523806
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057525540
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057528589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306057530504
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1306057531409
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1306057532436
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.text.contentAssist.proposals",1306057536609
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1306057541699
