what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jgit,0.12.1,"org.eclipse.jgit",1306066311078
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1306066311108
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1306066311113
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1306066311129
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1306066311146
os,sysinfo,,,"macosx",1306066311151
arch,sysinfo,,,"x86_64",1306066311151
ws,sysinfo,,,"cocoa",1306066311151
locale,sysinfo,,,"en_US",1306066311151
processors,sysinfo,,,"2",1306066311151
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1306066311151
java.runtime.version,sysinfo,,,"1.6.0_24-b07-334-10M3326",1306066311151
java.specification.name,sysinfo,,,"Java Platform API Specification",1306066311151
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1306066311151
java.specification.version,sysinfo,,,"1.6",1306066311151
java.vendor,sysinfo,,,"Apple Inc.",1306066311151
java.version,sysinfo,,,"1.6.0_24",1306066311151
java.vm.info,sysinfo,,,"mixed mode",1306066311151
java.vm.name,sysinfo,,,"Java HotSpot(TM) 64-Bit Server VM",1306066311151
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1306066311151
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1306066311151
java.vm.specification.version,sysinfo,,,"1.0",1306066311151
java.vm.vendor,sysinfo,,,"Apple Inc.",1306066311151
java.vm.version,sysinfo,,,"19.1-b02-334",1306066311151
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306066315104
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1306066315127
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1306066324995
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1306066325872
stopped,bundle,org.eclipse.jst.j2ee.xdoclet.runtime,1.1.300.v201004280700,"org.eclipse.jst.j2ee.xdoclet.runtime",1306066326809
stopped,bundle,org.eclipse.jst.j2ee.ejb.annotations.xdoclet,1.2.100.v201003112036,"org.eclipse.jst.j2ee.ejb.annotations.xdoclet",1306066326839
stopped,bundle,org.eclipse.jst.server.generic.jboss,1.6.1.v200904151730,"org.eclipse.jst.server.generic.jboss",1306066326940
stopped,bundle,org.eclipse.jst.server.generic.jonas,1.5.205.v200805140145,"org.eclipse.jst.server.generic.jonas",1306066327115
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1306066327115
error,log,,,"An internal error occurred during: ""Updating indexes"".",1306066327117
stopped,bundle,org.eclipse.jst.server.generic.oc4j,1.5.206.v20090812,"org.eclipse.jst.server.generic.oc4j",1306066327183
stopped,bundle,org.eclipse.jst.server.websphere.core,1.0.302.v20080620,"org.eclipse.jst.server.websphere.core",1306066327236
stopped,bundle,org.eclipse.jst.server.generic.ui,1.0.505.v20100428,"org.eclipse.jst.server.generic.ui",1306066327295
stopped,bundle,org.eclipse.jst.server.generic.core,1.0.606.v20100512,"org.eclipse.jst.server.generic.core",1306066327397
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1306066327417
stopped,bundle,org.eclipse.datatools.connectivity.oda.template.ui,3.2.1.v201004090942,"org.eclipse.datatools.connectivity.oda.template.ui",1306066327456
stopped,bundle,org.eclipse.pde.api.tools.ui,1.0.201.v20100820_r361,"org.eclipse.pde.api.tools.ui",1306066327496
stopped,bundle,org.eclipse.pde.ds.ui,1.0.100.v20100601,"org.eclipse.pde.ds.ui",1306066327558
stopped,bundle,org.eclipse.pde.runtime,3.4.200.v20100601,"org.eclipse.pde.runtime",1306066327624
stopped,bundle,org.eclipse.pde.ua.ui,1.0.100.v20100504,"org.eclipse.pde.ua.ui",1306066327665
stopped,bundle,org.eclipse.pde.ui.templates,3.4.200.v20100601,"org.eclipse.pde.ui.templates",1306066327729
stopped,bundle,org.eclipse.pde.ui,3.6.1.v20100810_r361,"org.eclipse.pde.ui",1306066327730
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1306066327838
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1306066327914
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1306066327963
stopped,bundle,org.eclipse.jst.server.tomcat.ui,1.1.200.v20100418,"org.eclipse.jst.server.tomcat.ui",1306066328015
stopped,bundle,org.eclipse.jst.server.ui,1.1.101.v20100823b,"org.eclipse.jst.server.ui",1306066328058
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1306066328116
